"Base Size","Data Reader",Flags,"Label Handler","M Flag Use",Name,"Params Example","State Handler",Value,"X Flag Use"
1,READ_8_16,Immediate,nullptr,false,LDY,#,nullptr,0xA0,true
1,READ_8,"DirectPage | Indirect | IndexedX",nullptr,false,LDA,"(d,x)",nullptr,0xA1,false
1,READ_8_16,Immediate,nullptr,false,LDX,#,nullptr,0xA2,true
1,READ_8,StackRelative,nullptr,false,LDA,"d,s",nullptr,0xA3,false
1,READ_8,DirectPage,nullptr,false,LDY,d,nullptr,0xA4,false
1,READ_8,DirectPage,nullptr,false,LDA,d,nullptr,0xA5,false
1,READ_8,DirectPage,nullptr,false,LDX,d,nullptr,0xA6,false
1,READ_8,"DirectPage | IndirectLong",nullptr,false,LDA,[d],nullptr,0xA7,false
0,NONE,Implied,nullptr,false,TAY,i,nullptr,0xA8,false
1,READ_8_16,Immediate,nullptr,true,LDA,#,nullptr,0xA9,false
0,NONE,Implied,nullptr,false,TAX,i,nullptr,0xAA,false
0,NONE,Implied,nullptr,false,PLB,s,nullptr,0xAB,false
2,READ_16,Absolute,nullptr,false,LDY,a,nullptr,0xAC,false
2,READ_16,Absolute,nullptr,false,LDA,a,nullptr,0xAD,false
2,READ_16,Absolute,nullptr,false,LDX,a,nullptr,0xAE,false
3,READ_24,AbsoluteLong,nullptr,false,LDA,al,nullptr,0xAF,false
1,READ_8,PCRelative,BRA,false,BCS,r,nullptr,0xB0,false
1,READ_8,"DirectPage | Indirect | IndexedY",nullptr,false,LDA,"(d),y",nullptr,0xB1,false
1,READ_8,"DirectPage | Indirect",nullptr,false,LDA,(d),nullptr,0xB2,false
1,READ_8,"StackRelative | Indirect | IndexedY",nullptr,false,LDA,"(d,s),y",nullptr,0xB3,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,LDY,"d,x",nullptr,0xB4,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,LDA,"d,x",nullptr,0xB5,false
